Clutter Class,Path Loss (DL) (dB),Best Server,Transmitter_X,Transmitter_Y,User_X,User_Y,Max_Power,Transmitter_Height,Transmitter_Azimuth,Transmitter_Mechanical_Downtilt,Antenna_Gain,Antenna_Horizontal_Half-power_Beamwidth,Antenna_Vertical_Half-power_Beamwidth,Frequency,Horizontal_Attenuation,Vertical_Attenuation,User_Azimuth,User_Downtilt,User_Height,RSRP,Distance_euclid
1 - open,126.33,Site2_2,595886.47,5634321.74,596087,5634282,43,18,120,2,8,65,6,3300,0.01,0.01,281.3,-0.1,1.5,-91.38,204.4298131
19 - high_buildings,113.56,Site6_3,595864.14,5633631.83,595839,5633665,43,20,240,4,8,65,6,3300,0.05,0.05,142.9,14.2,1.5,-83.32,41.62052979
7 - dense_urban,112.28,Site7_2,596216.91,5633488.93,596240,5633383,45,30,120,7,8,65,6,3300,0.14,0.14,347.8,-6.6,1.5,-84.78,108.4173095
19 - high_buildings,121.58,Site3_2,595774.83,5633884.13,595779,5633758,49,30,120,5,8,65,6,3300,0.07,0.07,358.2,-18.6,1.5,-88.87,126.1989136
7 - dense_urban,82.8,Site2_3,595886.47,5634321.74,595840,5634353,44,20,240,5,8,65,6,3300,0.07,0.07,124,-18.4,1.5,-50.33,56.00578988
1 - open,103.32,Site3_3,595774.83,5633884.13,595755,5633870,49,17,240,3,8,65,6,3300,0.03,0.03,55,-63.3,1.5,-73.9,24.34924639
19 - high_buildings,94.29,Site5_2,596165.56,5633716.67,596152,5633669,49,28,120,8,8,65,6,3300,0.18,0.18,16.3,0.6,1.5,-60.67,49.56109866
7 - dense_urban,112,Site6_3,595864.14,5633631.83,595861,5633569,43,20,240,4,8,65,6,3300,0.05,0.05,2.7,5,1.5,-77.8,62.90841359
7 - dense_urban,105.88,Site4_1,596192.35,5634069.44,596110,5634269,41,18,0,2,8,65,6,3300,0.01,0.01,157.7,0.1,1.5,-71.25,215.8835707
1 - open,112.08,Site6_1,595864.14,5633631.83,595910,5633701,43,14,0,9,8,65,6,3300,0.23,0.23,213.7,-3.8,1.5,-78.86,82.99173754
1 - open,113.1,Site1_3,595522.53,5634212.34,595485,5634192,48,13,240,1,8,65,6,3300,0,0,62.2,-17.5,1.5,-82.69,42.68742789
1 - open,87.67,Site7_2,596216.91,5633488.93,596264,5633505,45,30,120,7,8,65,6,3300,0.14,0.14,251.2,-29.9,1.5,-65.4,49.75653726
12 - parks_in_urban,106.62,Site2_3,595886.47,5634321.74,595797,5634253,44,20,240,5,8,65,6,3300,0.07,0.07,52.2,-16.1,1.5,-73.21,112.8276052
7 - dense_urban,117.8,Site5_3,596165.56,5633716.67,596147,5633659,47,13,240,8,8,65,6,3300,0.18,0.18,18.1,0.5,1.5,-87.42,60.58302155
1 - open,118.87,Site1_1,595522.53,5634212.34,595611,5634381,47,20,0,2,8,65,6,3300,0.01,0.01,207.5,-6.1,1.5,-84.51,190.4550774
19 - high_buildings,120.77,Site5_2,596165.56,5633716.67,596153,5633664,49,28,120,8,8,65,6,3300,0.18,0.18,13.8,1.6,1.5,-87.34,54.14686048
11 - open_in_urban,119.75,Site1_1,595522.53,5634212.34,595601,5634371,47,20,0,2,8,65,6,3300,0.01,0.01,206.1,-6.6,1.5,-85.22,177.0043403
11 - open_in_urban,106.44,Site2_1,595886.47,5634321.74,595927,5634356,43,14,0,4,8,65,6,3300,0.05,0.05,230.3,-30.6,1.5,-78.15,53.07003392
1 - open,95.92,Site2_3,595886.47,5634321.74,595834,5634304,44,20,240,5,8,65,6,3300,0.07,0.07,70.9,-27.4,1.5,-68.17,55.387801
1 - open,125.01,Site4_3,596192.35,5634069.44,596049,5634153,43,10,240,4,8,65,6,3300,0.05,0.05,120.4,-1.2,1.5,-90.12,165.9261767
11 - open_in_urban,115.86,Site5_3,596165.56,5633716.67,595931,5633714,47,13,240,8,8,65,6,3300,0.18,0.18,89.3,-2.8,1.5,-81.78,234.5751958
19 - high_buildings,108.59,Site3_3,595774.83,5633884.13,595731,5633855,49,17,240,3,8,65,6,3300,0.03,0.03,56.6,-10.2,1.5,-76.21,52.62723439
11 - open_in_urban,125.79,Site6_3,595864.14,5633631.83,595720,5633648,43,20,240,4,8,65,6,3300,0.05,0.05,96.3,-7.3,1.5,-92.42,145.0441605
7 - dense_urban,118.9,Site3_1,595774.83,5633884.13,595708,5633889,45,15,0,2,8,65,6,3300,0.01,0.01,94.3,-20.8,1.5,-89.94,67.00720708
11 - open_in_urban,101.23,Site4_1,596192.35,5634069.44,596156,5634147,41,18,0,2,8,65,6,3300,0.01,0.01,155.2,-10.9,1.5,-67.29,85.65556666
19 - high_buildings,109.5,Site6_1,595864.14,5633631.83,595875,5633702,43,14,0,9,8,65,6,3300,0.23,0.23,188.9,12.3,1.5,-80.57,71.00541177
19 - high_buildings,132.9,Site6_2,595864.14,5633631.83,595822,5633658,48,18,120,2,8,65,6,3300,0.01,0.01,121.8,21.5,1.5,-104.65,49.60492415
7 - dense_urban,118.65,Site2_3,595886.47,5634321.74,595768,5634260,44,20,240,5,8,65,6,3300,0.07,0.07,62.3,-10.4,1.5,-85.88,133.5925466
7 - dense_urban,117.66,Site4_2,596192.35,5634069.44,596171,5634023,44,14,120,6,8,65,6,3300,0.1,0.1,24.5,10.6,1.5,-85.64,51.1125826
1 - open,118.81,Site8_1,595922.19,5634056.05,595919,5634395,46,22,0,2,8,65,6,3300,0.01,0.01,179.5,-4.8,1.5,-86.75,338.9650109
7 - dense_urban,128.34,Site1_3,595522.53,5634212.34,595403,5634139,48,13,240,1,8,65,6,3300,0,0,58.7,3.1,1.5,-96.84,140.2361455
1 - open,109.58,Site1_2,595522.53,5634212.34,595600,5634073,43,15,146,3,8,65,6,3300,0.03,0.03,331,0.2,1.5,-76.39,159.427841
12 - parks_in_urban,121.72,Site7_1,596216.91,5633488.93,596110,5633562,44,15,0,6,8,65,6,3300,0.1,0.1,124.3,2.9,1.5,-87.32,129.4950694
15 - dense_residential,127.23,Site5_3,596165.56,5633716.67,595946,5633695,47,13,240,8,8,65,6,3300,0.18,0.18,84.3,1.4,1.5,-92.86,220.6267946
19 - high_buildings,95.36,Site3_2,595774.83,5633884.13,595818,5633900,49,30,120,5,8,65,6,3300,0.07,0.07,249.6,-36.1,1.5,-66.97,45.99462795
1 - open,86.42,Site3_1,595774.83,5633884.13,595773,5633908,45,15,0,2,8,65,6,3300,0.01,0.01,175.2,-59.9,1.5,-63.33,23.94004595
7 - dense_urban,106.89,Site8_2,595922.19,5634056.05,596131,5634017,49,21,120,1,8,65,6,3300,0,0,280.6,-1.8,1.5,-71.92,212.4300322
19 - high_buildings,119.48,Site6_3,595864.14,5633631.83,595725,5633626,43,20,240,4,8,65,6,3300,0.05,0.05,87.5,5.9,1.5,-86.57,139.2620857
1 - open,117.03,Site8_3,595922.19,5634056.05,595676,5634102,43,16,240,0,8,65,6,3300,0,0,100.6,-5.1,1.5,-83.12,250.4414474
1 - open,124.82,Site2_3,595886.47,5634321.74,595723,5634132,44,20,240,5,8,65,6,3300,0.07,0.07,40.6,-7.6,1.5,-89.85,250.4470174
19 - high_buildings,119.23,Site1_1,595522.53,5634212.34,595638,5634395,47,20,0,2,8,65,6,3300,0.01,0.01,212.1,3.6,1.5,-87.02,216.0971923
11 - open_in_urban,96.24,Site8_3,595922.19,5634056.05,595798,5634041,43,16,240,0,8,65,6,3300,0,0,83.1,-10.2,1.5,-63.06,125.0985955
7 - dense_urban,102.19,Site3_2,595774.83,5633884.13,595801,5633839,49,30,120,5,8,65,6,3300,0.07,0.07,330,-44.7,1.5,-73.64,52.16882019
1 - open,121.38,Site8_3,595922.19,5634056.05,595737,5633865,43,16,240,0,8,65,6,3300,0,0,44.1,-4.8,1.5,-86.75,266.0741224
1 - open,110.35,Site4_1,596192.35,5634069.44,596238,5634094,41,18,0,2,8,65,6,3300,0.01,0.01,241.5,-17.5,1.5,-79.09,51.83740059
1 - open,108.53,Site8_1,595922.19,5634056.05,595849,5634159,46,22,0,2,8,65,6,3300,0.01,0.01,144.7,-12.7,1.5,-77.05,126.3149975
1 - open,116.6,Site5_2,596165.56,5633716.67,596156,5633632,49,28,120,8,8,65,6,3300,0.18,0.18,6.7,0.3,1.5,-82.8,85.20799552
7 - dense_urban,105.71,Site1_2,595522.53,5634212.34,595571,5634158,43,15,146,3,8,65,6,3300,0.03,0.03,318.4,2,1.5,-72.3,72.81604562
15 - dense_residential,115.12,Site1_2,595522.53,5634212.34,595714,5633871,43,15,146,3,8,65,6,3300,0.03,0.03,330.7,-1.1,1.5,-81.82,391.3741899
19 - high_buildings,109.09,Site5_1,596165.56,5633716.67,596111,5633793,49,30,0,7,8,65,6,3300,0.14,0.14,144.1,0.3,1.5,-76,93.82463696
1 - open,106.6,Site5_3,596165.56,5633716.67,596173,5633682,47,13,240,8,8,65,6,3300,0.18,0.18,348.7,-17.9,1.5,-80.13,35.45930766
19 - high_buildings,109.9,Site3_3,595774.83,5633884.13,595745,5633856,49,17,240,3,8,65,6,3300,0.03,0.03,47,-13,1.5,-76.69,41.00153412
1 - open,116.11,Site2_3,595886.47,5634321.74,595678,5634177,44,20,240,5,8,65,6,3300,0.07,0.07,55.1,-5.3,1.5,-82.76,253.7900875
1 - open,116.01,Site5_1,596165.56,5633716.67,596129,5633812,49,30,0,7,8,65,6,3300,0.14,0.14,158.7,-15.6,1.5,-82.33,102.1001592
1 - open,120.81,Site8_3,595922.19,5634056.05,595733,5633889,43,16,240,0,8,65,6,3300,0,0,48.5,-5.1,1.5,-86.52,252.3857337
19 - high_buildings,113.41,Site3_3,595774.83,5633884.13,595732,5633852,49,17,240,3,8,65,6,3300,0.03,0.03,53.3,-10.1,1.5,-80.22,53.54200034
7 - dense_urban,99.68,Site3_3,595774.83,5633884.13,595710,5633857,49,17,240,3,8,65,6,3300,0.03,0.03,67.4,-20.6,1.5,-71.79,70.277776
7 - dense_urban,79.3,Site2_2,595886.47,5634321.74,595892,5634313,43,18,120,2,8,65,6,3300,0.01,0.01,326.3,-59.7,1.5,-51.96,10.34255771
7 - dense_urban,123.17,Site2_1,595886.47,5634321.74,595847,5634398,43,14,0,4,8,65,6,3300,0.05,0.05,152.8,-10.3,1.5,-89.42,85.86890299
1 - open,121.94,Site6_1,595864.14,5633631.83,595835,5633694,43,14,0,9,8,65,6,3300,0.23,0.23,154.9,-10.3,1.5,-87.26,68.66038523
11 - open_in_urban,100.62,Site8_2,595922.19,5634056.05,596066,5634041,49,21,120,1,8,65,6,3300,0,0,275.9,-10.8,1.5,-66.81,144.5953616
11 - open_in_urban,94.01,Site8_2,595922.19,5634056.05,596025,5634056,49,21,120,1,8,65,6,3300,0,0,270,-14.9,1.5,-62.37,102.8100122
1 - open,109.98,Site7_3,596216.91,5633488.93,596109,5633500,47,23,240,3,8,65,6,3300,0.03,0.03,95.8,-11.2,1.5,-77.65,108.4763246
7 - dense_urban,104.7,Site3_1,595774.83,5633884.13,595747,5633936,45,15,0,2,8,65,6,3300,0.01,0.01,151.7,-23.4,1.5,-76.34,58.86429988
7 - dense_urban,120.92,Site8_1,595922.19,5634056.05,595857,5634410,46,22,0,2,8,65,6,3300,0.01,0.01,169.6,-2.1,1.5,-86.37,359.9032351
19 - high_buildings,118.7,Site6_3,595864.14,5633631.83,595786,5633650,43,20,240,4,8,65,6,3300,0.05,0.05,103,9.6,1.5,-86.62,80.22473746
7 - dense_urban,111.99,Site5_2,596165.56,5633716.67,596164,5633653,49,28,120,8,8,65,6,3300,0.18,0.18,1.8,-9.3,1.5,-77.14,63.68910817
7 - dense_urban,121.21,Site2_2,595886.47,5634321.74,596207,5634261,43,18,120,2,8,65,6,3300,0.01,0.01,280.8,-4.6,1.5,-86.34,326.2343153
19 - high_buildings,128.53,Site4_1,596192.35,5634069.44,596103,5634151,41,18,0,2,8,65,6,3300,0.01,0.01,132.7,0.2,1.5,-93.87,120.9770892
1 - open,114.61,Site7_2,596216.91,5633488.93,596296,5633509,45,30,120,7,8,65,6,3300,0.14,0.14,255.8,-19.3,1.5,-86.8,81.59677077
19 - high_buildings,114.31,Site4_3,596192.35,5634069.44,596104,5634015,43,10,240,4,8,65,6,3300,0.05,0.05,58.5,9.6,1.5,-84.81,103.7758936
19 - high_buildings,118.9,Site1_2,595522.53,5634212.34,595502,5634017,43,15,146,3,8,65,6,3300,0.03,0.03,6.1,6.5,1.5,-86.48,196.4158764
12 - parks_in_urban,115.7,Site7_3,596216.91,5633488.93,596122,5633466,47,23,240,3,8,65,6,3300,0.03,0.03,76.4,0.3,1.5,-80.87,97.64063191
19 - high_buildings,116.17,Site2_2,595886.47,5634321.74,596043,5634177,43,18,120,2,8,65,6,3300,0.01,0.01,312.7,-1.7,1.5,-81.39,213.1931249
22 - grass,116.68,Site6_2,595864.14,5633631.83,595946,5633651,48,18,120,2,8,65,6,3300,0.01,0.01,257,-6.4,1.5,-86.67,84.07466027
1 - open,113.65,Site2_2,595886.47,5634321.74,596088,5634221,43,18,120,2,8,65,6,3300,0.01,0.01,296.6,-8.9,1.5,-81.19,225.3062105
1 - open,127.01,Site7_3,596216.91,5633488.93,596113,5633566,47,23,240,3,8,65,6,3300,0.03,0.03,126.5,-5.1,1.5,-92.54,129.3718401
1 - open,93.38,Site6_2,595864.14,5633631.83,595880,5633609,48,18,120,2,8,65,6,3300,0.01,0.01,325.2,1,1.5,-58.76,27.79835427
1 - open,124.41,Site2_2,595886.47,5634321.74,596003,5634141,43,18,120,2,8,65,6,3300,0.01,0.01,327.1,-9.4,1.5,-90.86,215.0492699
7 - dense_urban,114.82,Site6_3,595864.14,5633631.83,595794,5633556,43,20,240,4,8,65,6,3300,0.05,0.05,42.6,1.4,1.5,-80.23,103.2947651
19 - high_buildings,111.87,Site3_2,595774.83,5633884.13,595874,5633868,49,30,120,5,8,65,6,3300,0.07,0.07,279.2,-20,1.5,-78.91,100.4732094
7 - dense_urban,122.93,Site7_3,596216.91,5633488.93,596170,5633374,47,23,240,3,8,65,6,3300,0.03,0.03,22.2,-1.2,1.5,-89.05,124.1348178
1 - open,112.4,Site1_3,595522.53,5634212.34,595404,5634258,48,13,240,1,8,65,6,3300,0,0,111.1,-6,1.5,-77.46,127.020457
7 - dense_urban,100.91,Site5_3,596165.56,5633716.67,596113,5633697,47,13,240,8,8,65,6,3300,0.18,0.18,69.3,13.4,1.5,-71.99,56.12007217
19 - high_buildings,114.69,Site3_1,595774.83,5633884.13,595715,5633938,45,15,0,2,8,65,6,3300,0.01,0.01,132,-14.2,1.5,-81,80.50842068
7 - dense_urban,101.84,Site3_3,595774.83,5633884.13,595720,5633861,49,17,240,3,8,65,6,3300,0.03,0.03,67.3,-24,1.5,-80.58,59.50903965
7 - dense_urban,114.72,Site3_2,595774.83,5633884.13,595871,5633866,49,30,120,5,8,65,6,3300,0.07,0.07,280.6,-18.9,1.5,-81.33,97.86401688
19 - high_buildings,114.92,Site5_3,596165.56,5633716.67,596115,5633664,47,13,240,8,8,65,6,3300,0.18,0.18,43.9,8.9,1.5,-82.47,73.00987947
12 - parks_in_urban,108.41,Site7_2,596216.91,5633488.93,596280,5633412,45,30,120,7,8,65,6,3300,0.14,0.14,320.7,-16,1.5,-74.28,99.49157251
11 - open_in_urban,120.93,Site5_3,596165.56,5633716.67,596058,5633666,47,13,240,8,8,65,6,3300,0.18,0.18,64.7,-5.5,1.5,-87.43,118.8974453
1 - open,107.44,Site8_3,595922.19,5634056.05,595700,5633850,43,16,240,0,8,65,6,3300,0,0,47.1,-2.6,1.5,-72.74,303.0263992
7 - dense_urban,117.13,Site4_3,596192.35,5634069.44,596149,5633834,43,10,240,4,8,65,6,3300,0.05,0.05,10.4,3.5,1.5,-82.73,239.3976109
1 - open,115.7,Site5_2,596165.56,5633716.67,596195,5633676,49,28,120,8,8,65,6,3300,0.18,0.18,324.7,-27.8,1.5,-85.85,50.2071957
1 - open,112.22,Site5_3,596165.56,5633716.67,596187,5633695,47,13,240,8,8,65,6,3300,0.18,0.18,316.3,-20.7,1.5,-90.34,30.48380718
1 - open,113.96,Site8_2,595922.19,5634056.05,596249,5633988,49,21,120,1,8,65,6,3300,0,0,281.7,-4.5,1.5,-79,333.8196798
11 - open_in_urban,112.97,Site1_2,595522.53,5634212.34,595579,5634064,43,15,146,3,8,65,6,3300,0.03,0.03,339.3,-5.6,1.5,-78.16,158.7249713
11 - open_in_urban,100.07,Site6_2,595864.14,5633631.83,595892,5633592,48,18,120,2,8,65,6,3300,0.01,0.01,325,-18.7,1.5,-69.23,48.60667135
19 - high_buildings,121.49,Site3_2,595774.83,5633884.13,595901,5633787,49,30,120,5,8,65,6,3300,0.07,0.07,307.6,-1.3,1.5,-88.26,159.2265863
19 - high_buildings,110.09,Site8_1,595922.19,5634056.05,595886,5634366,46,22,0,2,8,65,6,3300,0.01,0.01,173.4,6.7,1.5,-77.27,312.0556338
19 - high_buildings,102.03,Site8_3,595922.19,5634056.05,595789,5633943,43,16,240,0,8,65,6,3300,0,0,49.6,3.4,1.5,-67.66,174.699395
1 - open,107.8,Site3_3,595774.83,5633884.13,595702,5633866,49,17,240,3,8,65,6,3300,0.03,0.03,76.1,-32.8,1.5,-78.83,75.05268683
7 - dense_urban,108.46,Site1_2,595522.53,5634212.34,595630,5633991,43,15,146,3,8,65,6,3300,0.03,0.03,334.2,-0.6,1.5,-74.53,246.0512071
11 - open_in_urban,90.89,Site1_3,595522.53,5634212.34,595495,5634205,48,13,240,1,8,65,6,3300,0,0,76,-25.1,1.5,-65.34,28.49169177
1 - open,105.09,Site3_3,595774.83,5633884.13,595730,5633888,49,17,240,3,8,65,6,3300,0.03,0.03,95.1,-47,1.5,-81.37,44.99673099
1 - open,101.25,Site3_3,595774.83,5633884.13,595722,5633882,49,17,240,3,8,65,6,3300,0.03,0.03,87.8,-38.7,1.5,-72.68,52.87292124
1 - open,133.75,Site7_1,596216.91,5633488.93,596172,5633662,44,15,0,6,8,65,6,3300,0.1,0.1,165.4,-4.3,1.5,-98.88,178.8019379
15 - dense_residential,115.88,Site2_1,595886.47,5634321.74,595823,5634400,43,14,0,4,8,65,6,3300,0.05,0.05,141.1,-14.3,1.5,-83.83,100.762436
11 - open_in_urban,113.65,Site7_3,596216.91,5633488.93,596162,5633392,47,23,240,3,8,65,6,3300,0.03,0.03,29.6,-10.9,1.5,-80.77,111.4025718
7 - dense_urban,127.63,Site4_1,596192.35,5634069.44,596275,5634142,41,18,0,2,8,65,6,3300,0.01,0.01,228.7,0.3,1.5,-92.91,109.981708
1 - open,91.44,Site2_2,595886.47,5634321.74,595908,5634308,43,18,120,2,8,65,6,3300,0.01,0.01,302.5,-53.7,1.5,-68.5,25.54072239
1 - open,88.45,Site4_3,596192.35,5634069.44,596173,5634098,43,10,240,4,8,65,6,3300,0.05,0.05,146.8,-13.8,1.5,-57.53,34.49776949
19 - high_buildings,124.82,Site3_2,595774.83,5633884.13,595781,5633783,49,30,120,5,8,65,6,3300,0.07,0.07,356.6,-11.5,1.5,-90.17,101.3180428
1 - open,108.4,Site1_2,595522.53,5634212.34,595642,5634162,43,15,146,3,8,65,6,3300,0.03,0.03,292.8,-6.8,1.5,-75.12,129.6425721
1 - open,110.63,Site4_2,596192.35,5634069.44,596172,5634015,44,14,120,6,8,65,6,3300,0.1,0.1,20.3,9.4,1.5,-78.22,58.11915433
1 - open,108.66,Site3_2,595774.83,5633884.13,595826,5633869,49,30,120,5,8,65,6,3300,0.07,0.07,286.4,-49.2,1.5,-80.19,53.35996439
1 - open,81.34,Site7_2,596216.91,5633488.93,596220,5633489,45,30,120,7,8,65,6,3300,0.14,0.14,270,-84,1.5,-50.73,3.090792779
1 - open,126.56,Site6_3,595864.14,5633631.83,595785,5633579,43,20,240,4,8,65,6,3300,0.05,0.05,56.1,-11,1.5,-94.01,95.15328949
19 - high_buildings,116.66,Site7_2,596216.91,5633488.93,596291,5633533,45,30,120,7,8,65,6,3300,0.14,0.14,239.3,-1.7,1.5,-87.92,86.20610767
11 - open_in_urban,104.14,Site2_2,595886.47,5634321.74,595937,5634357,43,18,120,2,8,65,6,3300,0.01,0.01,235.5,-29.9,1.5,-75.65,61.61613831
19 - high_buildings,130.34,Site5_1,596165.56,5633716.67,596075,5633794,49,30,0,7,8,65,6,3300,0.14,0.14,130.2,-1.2,1.5,-95.55,119.0841824
11 - open_in_urban,115.48,Site6_1,595864.14,5633631.83,595902,5633659,43,14,0,9,8,65,6,3300,0.23,0.23,234.6,-15,1.5,-89.35,46.60030579
7 - dense_urban,124.62,Site8_2,595922.19,5634056.05,596138,5634008,49,21,120,1,8,65,6,3300,0,0,282.5,-0.6,1.5,-89.62,221.0944563
15 - dense_residential,99.78,Site4_1,596192.35,5634069.44,596207,5634203,41,18,0,2,8,65,6,3300,0.01,0.01,186.4,-3.6,1.5,-65.9,134.3610662
1 - open,122.3,Site8_1,595922.19,5634056.05,595839,5634381,46,22,0,2,8,65,6,3300,0.01,0.01,165.7,-4.9,1.5,-87.53,335.4296925
